Titre,Lien,Entreprise,Lieu,Type de contrat,Expérience,Secteur,Description
"HR Business Partner - Casablanca CDI - Theodo Maroc",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/hr-business-partner-casablanca,"Theodo Morocco","Casablanca","Autre","3 - 5 ans","",""
"Talent Acquisition Specialist",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/talent-acquisition-specialist-casablanca,"Theodo Morocco","Casablanca","CDI","6 - 9 ans","",""
"Développeur Web Senior",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/senior-web-developer-casablanca,"Theodo Morocco","Casablanca","CDI","6 - 9 ans","",""
"Software Engineering Manager - CDI - Casablanca - Morocco",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/software-engineering-manager---cdi---casablanca---morocco-casablanca,"Theodo Morocco","Casablanca","Autre","3 - 5 ans","",""
"Tech Lead Web",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/tech-lead-web-casablanca,"Theodo Morocco","Casablanca","CDI","6 - 9 ans","",""
"Product & Delivery Consultant",https://www.jobzyn.com/fr/companies/theodo-morocco/jobs/product-delivery-consultant-casablanca,"Theodo Morocco","Casablanca","CDI","3 - 5 ans","",""
"Responsable Sécurité des Systèmes d'Information",https://www.jobzyn.com/fr/companies/TGCC/jobs/responsable-securite-des-systemes-dinformation-casablanca,"TGCC","Casablanca","CDI","6 - 9 ans","",""
"Tech Lead",https://www.jobzyn.com/fr/companies/yakeey/jobs/tech-lead-casablanca,"Yakeey","Casablanca","CDI","6 - 9 ans","",""
"Chef Projet Climat/Bas Carbone",https://www.jobzyn.com/fr/companies/TGCC/jobs/chef-projet-climatbas-carbone-casablanca,"TGCC","Casablanca","CDI","3 - 5 ans","",""
"Chargé Prescription (H/F)",https://www.jobzyn.com/fr/companies/mafoder/jobs/charge-prescription-hf-casablanca,"Mafoder Group","Casablanca","CDI","3 - 5 ans","",""
"Chargé RH site et moyens généraux",https://www.jobzyn.com/fr/companies/mafoder/jobs/charge-rh-site-et-moyens-generaux-casablanca,"Mafoder Group","Casablanca","CDI","3 - 5 ans","",""
"Senior Full-Stack Engineer (Open Application)",https://www.jobzyn.com/fr/companies/enakl/jobs/senior-full-stack-engineer-open-application-casablanca,"ENAKL","Casablanca","CDI","6 - 9 ans","",""
"Directeur des Achats – Industrie",https://www.jobzyn.com/fr/companies/jobzyn-confidential/jobs/directeur-des-achats-industrie-casablanca,"Jobzyn Confidential","Casablanca","CDI","","",""
"Tech Architect",https://www.jobzyn.com/fr/companies/haldorix/jobs/tech-architect-casablanca,"Haldorix","Casablanca","CDI","","",""
"Sr Mobile iOS Developer - Banking",https://www.jobzyn.com/fr/companies/seven/jobs/sr-mobile-ios-developer---banking-casablanca,"SEVEN","Casablanca","CDI","3 - 5 ans","",""
"Head of Sales",https://www.jobzyn.com/fr/companies/haldorix/jobs/head-of-sales-casablanca,"Haldorix","Casablanca","CDI","6 - 9 ans","",""
"Digital Marketing Manager",https://www.jobzyn.com/fr/companies/kitea/jobs/digital-marketing-manager-casablanca,"KITEA","Casablanca","CDI","6 - 9 ans","",""
"Investment Manager Advisory & Initiatives",https://www.jobzyn.com/fr/companies/reim-partners/jobs/investment-manager-advisory-initiatives-casablanca,"REIM Partners","Casablanca","CDI","3 - 5 ans","",""
"DevOps Engineer",https://www.jobzyn.com/fr/companies/wafr/jobs/devops-engineer-casablanca,"WafR","Casablanca","CDI","","",""
"Tech Lead - Architecture & Code Quality",https://www.jobzyn.com/fr/companies/wafr/jobs/tech-lead-architecture-code-quality-casablanca,"WafR","Casablanca","CDI","","",""
"Sr Android Mobile Developer - Banking",https://www.jobzyn.com/fr/companies/seven/jobs/sr-android-mobile-developer---banking-casablanca,"SEVEN","Casablanca","CDI","3 - 5 ans","",""
"Tech Lead Gen IA",https://www.jobzyn.com/fr/companies/seven/jobs/tech-lead-ia-casablanca,"SEVEN","Casablanca","CDI","3 - 5 ans","",""
"Stagiaire en Stratégie et Développement",https://www.jobzyn.com/fr/companies/groupe-safari/jobs/stagiaire-en-strategie-et-developpement-casablanca,"Groupe Safari","Casablanca","CDI","0 - 2 ans","",""
"Future Business Leaders – Fast Track Program",https://www.jobzyn.com/fr/companies/zsystem/jobs/future-business-leaders-fast-track-program-casablanca,"z.systems","Casablanca","CDI","","",""
"National Sales Manager",https://www.jobzyn.com/fr/companies/sterifil/jobs/national-sales-manager-casablanca,"Sterifil","Casablanca","CDI","6 - 9 ans","",""
"Consultant(e) PMO",https://www.jobzyn.com/fr/companies/valyans/jobs/consultant-pmo-casablanca,"Valyans","Casablanca","CDI","3 - 5 ans","",""
"Consultant(e) PMO",https://www.jobzyn.com/fr/companies/valyans/jobs/consultante-pmo-rabat,"Valyans","Rabat","CDI","3 - 5 ans","",""
"E-merchandiser",https://www.jobzyn.com/fr/companies/marjanemall/jobs/e-merchandiser-casablanca,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
"Responsable DevOps et Sécurité",https://www.jobzyn.com/fr/companies/marjanemall/jobs/responsable-devops-et-securite-casablanca,"marjanemall","Casablanca","CDI","6 - 9 ans","",""
"Category manager - Senior",https://www.jobzyn.com/fr/companies/marjanemall/jobs/category-manager---senior-casablanca,"marjanemall","Casablanca","CDI","3 - 5 ans","",""
